time,o,h,l,c,volume,complete
2020-08-11 08:00:00,1.17462,1.17472,1.17447,1.17471,91,True
2020-08-11 08:00:30,1.17472,1.17482,1.17471,1.17482,43,True
2020-08-11 08:01:00,1.17481,1.17497,1.17474,1.17497,75,True
2020-08-11 08:01:30,1.17498,1.17506,1.17485,1.17502,118,True
2020-08-11 08:02:00,1.175,1.17502,1.17492,1.17502,72,True
2020-08-11 08:02:30,1.17504,1.17511,1.17496,1.17498,82,True
2020-08-11 08:03:00,1.17496,1.17497,1.17482,1.17496,69,True
2020-08-11 08:03:30,1.17494,1.17507,1.17493,1.17507,44,True
2020-08-11 08:04:00,1.17509,1.1751,1.17494,1.17504,44,True
2020-08-11 08:04:30,1.17502,1.17507,1.17498,1.17506,36,True
2020-08-11 08:05:00,1.17507,1.17512,1.17502,1.17508,43,True
2020-08-11 08:05:30,1.17506,1.17511,1.17504,1.1751,30,True
2020-08-11 08:06:00,1.17511,1.17513,1.17505,1.1751,44,True
2020-08-11 08:06:30,1.17511,1.17518,1.17492,1.17516,61,True
2020-08-11 08:07:00,1.17514,1.17542,1.17514,1.17532,128,True
2020-08-11 08:07:30,1.1753,1.1753,1.17502,1.1751,71,True
2020-08-11 08:08:00,1.17508,1.17512,1.17481,1.17492,137,True
2020-08-11 08:08:30,1.1749,1.17496,1.17482,1.17488,98,True
2020-08-11 08:09:00,1.1749,1.17511,1.17487,1.17498,61,True
2020-08-11 08:09:30,1.175,1.17518,1.17498,1.17506,81,True
2020-08-11 08:10:00,1.17506,1.17535,1.17506,1.17523,94,True
2020-08-11 08:10:30,1.17522,1.1757,1.17517,1.17566,96,True
2020-08-11 08:11:00,1.17565,1.17616,1.17562,1.17596,184,True
2020-08-11 08:11:30,1.17594,1.17646,1.17592,1.17621,171,True
2020-08-11 08:12:00,1.1762,1.17653,1.17616,1.17653,144,True
2020-08-11 08:12:30,1.17652,1.17664,1.17638,1.17661,116,True
2020-08-11 08:13:00,1.17662,1.1767,1.17623,1.17634,155,True
2020-08-11 08:13:30,1.17636,1.1766,1.17636,1.17656,122,True
2020-08-11 08:14:00,1.17655,1.1767,1.17644,1.17668,84,True
2020-08-11 08:14:30,1.1767,1.17692,1.17664,1.17665,111,True
2020-08-11 08:15:00,1.17664,1.17684,1.1765,1.1765,106,True
2020-08-11 08:15:30,1.17652,1.17672,1.17647,1.17658,80,True
2020-08-11 08:16:00,1.1766,1.17676,1.17655,1.17666,89,True
2020-08-11 08:16:30,1.17667,1.17672,1.17657,1.17661,64,True
2020-08-11 08:17:00,1.1766,1.17663,1.17651,1.17656,79,True
2020-08-11 08:17:30,1.17657,1.1766,1.17646,1.17648,89,True
2020-08-11 08:18:00,1.17649,1.1766,1.17649,1.17659,71,True
2020-08-11 08:18:30,1.17658,1.17664,1.17638,1.17645,90,True
2020-08-11 08:19:00,1.17644,1.17649,1.17631,1.17644,108,True
2020-08-11 08:19:30,1.17642,1.17646,1.17636,1.17643,97,True
2020-08-11 08:20:00,1.17642,1.17642,1.1763,1.17633,73,True
2020-08-11 08:20:30,1.17634,1.17636,1.1763,1.17632,72,True
2020-08-11 08:21:00,1.17634,1.17643,1.1762,1.17627,114,True
2020-08-11 08:21:30,1.17626,1.17644,1.1762,1.17644,86,True
2020-08-11 08:22:00,1.17642,1.17672,1.17636,1.1767,121,True
2020-08-11 08:22:30,1.17668,1.17706,1.17667,1.17696,125,True
2020-08-11 08:23:00,1.17698,1.17708,1.17673,1.17676,129,True
2020-08-11 08:23:30,1.17675,1.17699,1.17675,1.17699,65,True
2020-08-11 08:24:00,1.17698,1.17728,1.17686,1.17696,164,True
2020-08-11 08:24:30,1.17695,1.17703,1.17682,1.17692,76,True
2020-08-11 08:25:00,1.17691,1.17692,1.17678,1.1768,66,True
2020-08-11 08:25:30,1.17682,1.17694,1.17679,1.1769,93,True
2020-08-11 08:26:00,1.17689,1.17689,1.17672,1.17678,93,True
2020-08-11 08:26:30,1.1768,1.17684,1.17668,1.17674,72,True
2020-08-11 08:27:00,1.17676,1.17689,1.17672,1.17676,113,True
2020-08-11 08:27:30,1.17675,1.17682,1.17674,1.17676,53,True
2020-08-11 08:28:00,1.17678,1.17683,1.17674,1.17674,72,True
2020-08-11 08:28:30,1.17676,1.17704,1.17675,1.17696,127,True
2020-08-11 08:29:00,1.17696,1.17744,1.17692,1.17724,141,True
2020-08-11 08:29:30,1.17722,1.17725,1.1771,1.17716,97,True
2020-08-11 08:30:00,1.17715,1.1772,1.17686,1.17686,105,True
2020-08-11 08:30:30,1.17688,1.17694,1.17681,1.1769,64,True
2020-08-11 08:31:00,1.1769,1.17692,1.17678,1.17685,111,True
2020-08-11 08:31:30,1.17684,1.17692,1.17681,1.17685,60,True
2020-08-11 08:32:00,1.17684,1.17689,1.1768,1.1768,52,True
2020-08-11 08:32:30,1.17682,1.17686,1.17671,1.17685,83,True
2020-08-11 08:33:00,1.17686,1.17705,1.17686,1.17696,47,True
2020-08-11 08:33:30,1.17694,1.17696,1.17685,1.17685,39,True
2020-08-11 08:34:00,1.17684,1.17704,1.17684,1.17698,53,True
2020-08-11 08:34:30,1.17696,1.17697,1.17682,1.17689,50,True
2020-08-11 08:35:00,1.1769,1.17699,1.17682,1.17682,40,True
2020-08-11 08:35:30,1.17683,1.17696,1.17678,1.1769,53,True
2020-08-11 08:36:00,1.17688,1.17688,1.17676,1.17679,56,True
2020-08-11 08:36:30,1.1768,1.17686,1.17675,1.17675,47,True
2020-08-11 08:37:00,1.17674,1.17674,1.17654,1.1766,87,True
2020-08-11 08:37:30,1.17662,1.17665,1.17652,1.17658,59,True
2020-08-11 08:38:00,1.17658,1.17658,1.1764,1.1764,41,True
2020-08-11 08:38:30,1.17641,1.17655,1.17641,1.17651,73,True
2020-08-11 08:39:00,1.17652,1.17668,1.17652,1.17657,70,True
2020-08-11 08:39:30,1.17658,1.17661,1.17636,1.1764,114,True
2020-08-11 08:40:00,1.17642,1.17648,1.1762,1.17648,134,True
2020-08-11 08:40:30,1.17648,1.17656,1.17627,1.17642,82,True
2020-08-11 08:41:00,1.17642,1.17648,1.1763,1.17638,50,True
2020-08-11 08:41:30,1.17639,1.17649,1.17637,1.17649,49,True
2020-08-11 08:42:00,1.17651,1.17654,1.1763,1.17633,72,True
2020-08-11 08:42:30,1.17635,1.17644,1.17628,1.17629,75,True
2020-08-11 08:43:00,1.17631,1.17643,1.17628,1.17643,59,True
2020-08-11 08:43:30,1.17642,1.17664,1.17641,1.17661,54,True
2020-08-11 08:44:00,1.1766,1.17672,1.1765,1.1767,88,True
2020-08-11 08:44:30,1.17672,1.17686,1.17662,1.17664,115,True
2020-08-11 08:45:00,1.17662,1.17665,1.17634,1.17646,98,True
2020-08-11 08:45:30,1.17647,1.1766,1.17647,1.17652,57,True
2020-08-11 08:46:00,1.17653,1.17659,1.17647,1.17648,74,True
2020-08-11 08:46:30,1.1765,1.17659,1.1765,1.17654,47,True
2020-08-11 08:47:00,1.17652,1.17654,1.17638,1.17639,65,True
2020-08-11 08:47:30,1.17638,1.17644,1.17626,1.17628,76,True
2020-08-11 08:48:00,1.17629,1.17645,1.17629,1.17641,54,True
2020-08-11 08:48:30,1.1764,1.17646,1.17634,1.17644,46,True
2020-08-11 08:49:00,1.17646,1.17655,1.17644,1.17654,40,True
2020-08-11 08:49:30,1.17654,1.1766,1.1765,1.17652,37,True
2020-08-11 08:50:00,1.17651,1.17676,1.17651,1.17676,65,True
2020-08-11 08:50:30,1.17677,1.17682,1.17664,1.17668,64,True
2020-08-11 08:51:00,1.1767,1.17698,1.17669,1.17698,50,True
2020-08-11 08:51:30,1.17697,1.1772,1.17689,1.1769,111,True
2020-08-11 08:52:00,1.1769,1.17694,1.17676,1.17682,85,True
2020-08-11 08:52:30,1.17681,1.17707,1.1768,1.17702,66,True
2020-08-11 08:53:00,1.17702,1.17716,1.17689,1.17716,86,True
2020-08-11 08:53:30,1.17714,1.17716,1.17692,1.17706,67,True
2020-08-11 08:54:00,1.17705,1.17707,1.1769,1.17697,51,True
2020-08-11 08:54:30,1.17696,1.177,1.17685,1.17694,37,True
2020-08-11 08:55:00,1.17692,1.17714,1.17692,1.17708,105,True
2020-08-11 08:55:30,1.17708,1.17708,1.17692,1.17696,76,True
2020-08-11 08:56:00,1.17695,1.1771,1.17688,1.17705,59,True
2020-08-11 08:56:30,1.17706,1.17718,1.17702,1.17712,75,True
2020-08-11 08:57:00,1.17713,1.17716,1.17702,1.17702,60,True
2020-08-11 08:57:30,1.17701,1.17713,1.17692,1.17692,58,True
2020-08-11 08:58:00,1.1769,1.1769,1.17682,1.17684,53,True
2020-08-11 08:58:30,1.17686,1.17711,1.17682,1.17711,66,True
2020-08-11 08:59:00,1.17712,1.17746,1.17712,1.17726,120,True
2020-08-11 08:59:30,1.17728,1.17741,1.17718,1.17724,77,True
2020-08-11 09:00:00,1.17723,1.17772,1.17716,1.17752,113,True
2020-08-11 09:00:30,1.1775,1.17756,1.17727,1.17742,111,True
2020-08-11 09:01:00,1.1774,1.17746,1.1773,1.17744,77,True
2020-08-11 09:01:30,1.17742,1.17758,1.1773,1.17735,87,True
2020-08-11 09:02:00,1.17734,1.17788,1.17732,1.17788,155,True
2020-08-11 09:02:30,1.17787,1.17816,1.17786,1.17803,117,True
2020-08-11 09:03:00,1.17804,1.17835,1.17804,1.17822,120,True
2020-08-11 09:03:30,1.17824,1.17841,1.17816,1.17838,115,True
2020-08-11 09:04:00,1.1784,1.17842,1.17825,1.17832,62,True
2020-08-11 09:04:30,1.17831,1.17834,1.17806,1.17827,68,True
2020-08-11 09:05:00,1.17829,1.17831,1.17794,1.17796,89,True
2020-08-11 09:05:30,1.17798,1.17804,1.17791,1.17798,51,True
2020-08-11 09:06:00,1.178,1.17808,1.17795,1.17795,42,True
2020-08-11 09:06:30,1.17796,1.178,1.17788,1.1779,98,True
2020-08-11 09:07:00,1.1779,1.17792,1.17777,1.17786,58,True
2020-08-11 09:07:30,1.17784,1.17794,1.17783,1.17788,40,True
2020-08-11 09:08:00,1.17789,1.17812,1.17789,1.17804,81,True
2020-08-11 09:08:30,1.17805,1.17822,1.17805,1.17818,50,True
2020-08-11 09:09:00,1.17817,1.1782,1.1778,1.1778,79,True
2020-08-11 09:09:30,1.17782,1.17789,1.17761,1.1777,79,True
2020-08-11 09:10:00,1.17768,1.17788,1.17768,1.1778,57,True
2020-08-11 09:10:30,1.17781,1.17794,1.17772,1.17772,66,True
2020-08-11 09:11:00,1.17773,1.17794,1.17772,1.17794,61,True
2020-08-11 09:11:30,1.17792,1.17799,1.17785,1.17786,57,True
2020-08-11 09:12:00,1.17788,1.17788,1.1778,1.17785,36,True
2020-08-11 09:12:30,1.17786,1.17798,1.17786,1.17788,42,True
2020-08-11 09:13:00,1.1779,1.178,1.17788,1.178,17,True
2020-08-11 09:13:30,1.17798,1.17798,1.17774,1.17774,31,True
2020-08-11 09:14:00,1.17775,1.17798,1.17775,1.17792,43,True
2020-08-11 09:14:30,1.17791,1.17806,1.17784,1.17803,79,True
2020-08-11 09:15:00,1.17801,1.17814,1.17788,1.17813,88,True
2020-08-11 09:15:30,1.17812,1.17815,1.17804,1.17806,60,True
2020-08-11 09:16:00,1.17808,1.17812,1.17802,1.17804,36,True
2020-08-11 09:16:30,1.17802,1.17804,1.17783,1.17783,40,True
2020-08-11 09:17:00,1.17781,1.17791,1.1778,1.17789,18,True
2020-08-11 09:17:30,1.17787,1.17789,1.17773,1.17784,63,True
2020-08-11 09:18:00,1.17782,1.17799,1.1778,1.17786,64,True
2020-08-11 09:18:30,1.17787,1.178,1.17787,1.17797,32,True
2020-08-11 09:19:00,1.17798,1.17823,1.17798,1.17818,114,True
2020-08-11 09:19:30,1.17819,1.1784,1.17818,1.17828,85,True
2020-08-11 09:20:00,1.17827,1.1783,1.17812,1.17822,84,True
2020-08-11 09:20:30,1.17824,1.17826,1.17805,1.17806,31,True
2020-08-11 09:21:00,1.17808,1.17828,1.17804,1.17822,49,True
2020-08-11 09:21:30,1.1782,1.17842,1.1782,1.17833,45,True
2020-08-11 09:22:00,1.17835,1.17842,1.17826,1.17842,42,True
2020-08-11 09:22:30,1.17843,1.1785,1.17836,1.17841,44,True
2020-08-11 09:23:00,1.1784,1.17842,1.17808,1.1781,48,True
2020-08-11 09:23:30,1.17808,1.17821,1.17806,1.17816,38,True
2020-08-11 09:24:00,1.17814,1.17816,1.17806,1.17815,25,True
2020-08-11 09:24:30,1.17814,1.17816,1.1779,1.1779,34,True
2020-08-11 09:25:00,1.17791,1.17794,1.17766,1.17772,92,True
2020-08-11 09:25:30,1.17773,1.17784,1.17764,1.17778,60,True
2020-08-11 09:26:00,1.17776,1.1779,1.17776,1.17782,46,True
2020-08-11 09:26:30,1.17784,1.17815,1.17784,1.17815,57,True
2020-08-11 09:27:00,1.17813,1.17826,1.17812,1.17826,47,True
2020-08-11 09:27:30,1.17824,1.17824,1.17806,1.1782,58,True
2020-08-11 09:28:00,1.17821,1.17842,1.17818,1.17833,47,True
2020-08-11 09:28:30,1.17835,1.17836,1.17826,1.1783,55,True
2020-08-11 09:29:00,1.17832,1.1785,1.17832,1.17846,70,True
2020-08-11 09:29:30,1.17844,1.17844,1.17796,1.17814,74,True
2020-08-11 09:30:00,1.17816,1.17844,1.17806,1.1784,80,True
2020-08-11 09:30:30,1.17839,1.17842,1.17822,1.17829,70,True
2020-08-11 09:31:00,1.1783,1.17839,1.17825,1.17838,66,True
2020-08-11 09:31:30,1.17837,1.17837,1.17816,1.17818,61,True
2020-08-11 09:32:00,1.17818,1.17829,1.17814,1.17818,85,True
2020-08-11 09:32:30,1.17819,1.17828,1.17798,1.17814,70,True
2020-08-11 09:33:00,1.17815,1.17836,1.17813,1.17826,81,True
2020-08-11 09:33:30,1.17828,1.17834,1.17825,1.17832,62,True
2020-08-11 09:34:00,1.17834,1.17859,1.17832,1.17838,90,True
2020-08-11 09:34:30,1.17838,1.17855,1.17836,1.17851,65,True
2020-08-11 09:35:00,1.17849,1.17863,1.17848,1.1786,89,True
2020-08-11 09:35:30,1.17858,1.17858,1.1784,1.17848,80,True
2020-08-11 09:36:00,1.17846,1.17849,1.17831,1.17838,44,True
2020-08-11 09:36:30,1.1784,1.17843,1.17832,1.17835,45,True
2020-08-11 09:37:00,1.17836,1.17846,1.17831,1.17835,50,True
2020-08-11 09:37:30,1.17834,1.17844,1.17827,1.1783,89,True
2020-08-11 09:38:00,1.17829,1.17841,1.17829,1.1783,49,True
2020-08-11 09:38:30,1.17829,1.17834,1.17815,1.17834,60,True
2020-08-11 09:39:00,1.17832,1.1784,1.17832,1.17834,28,True
2020-08-11 09:39:30,1.17832,1.1784,1.17826,1.17838,42,True
2020-08-11 09:40:00,1.17836,1.17838,1.17822,1.17825,27,True
2020-08-11 09:40:30,1.17824,1.17826,1.17802,1.1781,47,True
2020-08-11 09:41:00,1.17812,1.17818,1.17812,1.17815,28,True
2020-08-11 09:41:30,1.17816,1.17836,1.17816,1.17834,44,True
2020-08-11 09:42:00,1.17835,1.17839,1.17817,1.17817,34,True
2020-08-11 09:42:30,1.17816,1.1782,1.17806,1.1782,32,True
2020-08-11 09:43:00,1.17818,1.17818,1.17811,1.17818,26,True
2020-08-11 09:43:30,1.17816,1.17824,1.17812,1.17824,21,True
2020-08-11 09:44:00,1.17825,1.17844,1.17825,1.17838,73,True
2020-08-11 09:44:30,1.17836,1.17852,1.17833,1.1785,52,True
2020-08-11 09:45:00,1.17849,1.1785,1.17844,1.17845,54,True
2020-08-11 09:45:30,1.17844,1.17854,1.17844,1.1785,43,True
2020-08-11 09:46:00,1.17849,1.1786,1.17847,1.17852,46,True
2020-08-11 09:46:30,1.17851,1.17855,1.17844,1.1785,89,True
2020-08-11 09:47:00,1.17852,1.17863,1.17838,1.17838,66,True
2020-08-11 09:47:30,1.17838,1.17846,1.17836,1.17846,33,True
2020-08-11 09:48:00,1.17848,1.1785,1.17842,1.1785,63,True
2020-08-11 09:48:30,1.17849,1.17862,1.17848,1.1786,47,True
2020-08-11 09:49:00,1.17858,1.17858,1.17842,1.17852,43,True
2020-08-11 09:49:30,1.17851,1.17851,1.17837,1.17844,54,True
2020-08-11 09:50:00,1.17846,1.17853,1.17844,1.1785,25,True
2020-08-11 09:50:30,1.17848,1.17854,1.17838,1.17838,43,True
2020-08-11 09:51:00,1.17836,1.17837,1.17816,1.1782,42,True
2020-08-11 09:51:30,1.17818,1.17818,1.17807,1.17818,50,True
2020-08-11 09:52:00,1.17817,1.17818,1.17805,1.17806,41,True
2020-08-11 09:52:30,1.17804,1.1782,1.17803,1.17818,32,True
2020-08-11 09:53:00,1.1782,1.17828,1.17818,1.17827,35,True
2020-08-11 09:53:30,1.17828,1.17846,1.17828,1.17833,31,True
2020-08-11 09:54:00,1.17831,1.17832,1.17816,1.17819,27,True
2020-08-11 09:54:30,1.17817,1.1783,1.17817,1.1783,24,True
2020-08-11 09:55:00,1.17828,1.17828,1.17802,1.17806,50,True
2020-08-11 09:55:30,1.17808,1.17816,1.17795,1.17814,43,True
2020-08-11 09:56:00,1.17813,1.1782,1.17806,1.17819,53,True
2020-08-11 09:56:30,1.1782,1.1783,1.17818,1.17818,38,True
2020-08-11 09:57:00,1.17817,1.1783,1.17816,1.17822,33,True
2020-08-11 09:57:30,1.17821,1.1783,1.17821,1.1783,28,True
2020-08-11 09:58:00,1.17832,1.17841,1.17832,1.17838,35,True
2020-08-11 09:58:30,1.17839,1.17848,1.17838,1.17846,36,True
2020-08-11 09:59:00,1.17845,1.17857,1.1784,1.17854,65,True
2020-08-11 09:59:30,1.17852,1.1788,1.17844,1.17878,67,True
2020-08-11 10:00:00,1.17876,1.17894,1.17875,1.1789,104,True
2020-08-11 10:00:30,1.17889,1.17895,1.17886,1.1789,57,True
2020-08-11 10:01:00,1.17889,1.17901,1.17888,1.17894,73,True
2020-08-11 10:01:30,1.17892,1.17897,1.17888,1.1789,36,True
2020-08-11 10:02:00,1.17892,1.17898,1.17889,1.17892,27,True
2020-08-11 10:02:30,1.17894,1.17899,1.17886,1.17892,34,True
2020-08-11 10:03:00,1.1789,1.17898,1.17883,1.17885,37,True
2020-08-11 10:03:30,1.17884,1.17898,1.17883,1.17893,27,True
2020-08-11 10:04:00,1.17895,1.17895,1.17882,1.1789,20,True
2020-08-11 10:04:30,1.17888,1.17897,1.17888,1.17896,29,True
2020-08-11 10:05:00,1.17894,1.17951,1.17892,1.17951,58,True
2020-08-11 10:05:30,1.1795,1.1796,1.17922,1.17952,108,True
2020-08-11 10:06:00,1.1795,1.17954,1.17928,1.17938,78,True
2020-08-11 10:06:30,1.1794,1.1794,1.17919,1.1792,66,True
2020-08-11 10:07:00,1.17921,1.1795,1.1792,1.17934,84,True
2020-08-11 10:07:30,1.17936,1.1796,1.17936,1.17944,74,True
2020-08-11 10:08:00,1.17945,1.17945,1.17925,1.17928,46,True
2020-08-11 10:08:30,1.17929,1.17943,1.17924,1.17943,64,True
2020-08-11 10:09:00,1.17942,1.17948,1.1794,1.17941,32,True
2020-08-11 10:09:30,1.17942,1.17958,1.17942,1.17957,63,True
2020-08-11 10:10:00,1.17956,1.17974,1.1795,1.17974,84,True
2020-08-11 10:10:30,1.17972,1.17978,1.17968,1.17977,47,True
2020-08-11 10:11:00,1.17978,1.17995,1.17974,1.17995,48,True
2020-08-11 10:11:30,1.17996,1.18,1.1799,1.18,64,True
2020-08-11 10:12:00,1.18002,1.18004,1.1797,1.1797,78,True
2020-08-11 10:12:30,1.17969,1.17979,1.17969,1.17976,54,True
2020-08-11 10:13:00,1.17978,1.17998,1.17969,1.17969,75,True
2020-08-11 10:13:30,1.1797,1.17996,1.1797,1.17988,53,True
2020-08-11 10:14:00,1.17986,1.17988,1.17979,1.17986,23,True
2020-08-11 10:14:30,1.17984,1.17984,1.17972,1.17975,47,True
2020-08-11 10:15:00,1.17976,1.17976,1.17964,1.17966,43,True
2020-08-11 10:15:30,1.17964,1.17968,1.17954,1.17954,54,True
2020-08-11 10:16:00,1.17956,1.1796,1.17951,1.17952,38,True
2020-08-11 10:16:30,1.17951,1.17952,1.17932,1.17948,82,True
2020-08-11 10:17:00,1.1795,1.17974,1.1793,1.1793,107,True
2020-08-11 10:17:30,1.17932,1.17934,1.17925,1.17928,60,True
2020-08-11 10:18:00,1.17929,1.17958,1.17928,1.17938,76,True
2020-08-11 10:18:30,1.1794,1.17957,1.17929,1.17954,65,True
2020-08-11 10:19:00,1.17954,1.17972,1.17954,1.17962,48,True
2020-08-11 10:19:30,1.1796,1.17967,1.17959,1.17963,56,True
2020-08-11 10:20:00,1.17964,1.1797,1.17954,1.17957,50,True
2020-08-11 10:20:30,1.17958,1.17962,1.17948,1.17948,26,True
2020-08-11 10:21:00,1.17948,1.17948,1.1794,1.1794,27,True
2020-08-11 10:21:30,1.1794,1.1794,1.17915,1.17918,70,True
2020-08-11 10:22:00,1.17916,1.17935,1.17916,1.17922,54,True
