time,o,h,l,c,volume,complete
2020-08-11 08:00:00,1995.356,1995.708,1994.585,1995.703,68,True
2020-08-11 08:00:30,1995.749,1995.883,1995.323,1995.66,34,True
2020-08-11 08:01:00,1995.704,1995.704,1994.994,1995.406,36,True
2020-08-11 08:01:30,1995.446,1995.8,1994.98,1995.789,55,True
2020-08-11 08:02:00,1995.831,1996.026,1995.811,1995.951,29,True
2020-08-11 08:02:30,1995.997,1996.37,1995.415,1995.423,43,True
2020-08-11 08:03:00,1995.38,1995.454,1994.91,1995.004,47,True
2020-08-11 08:03:30,1994.962,1995.516,1994.962,1995.498,30,True
2020-08-11 08:04:00,1995.55,1995.55,1995.052,1995.155,22,True
2020-08-11 08:04:30,1995.195,1995.389,1995.114,1995.256,20,True
2020-08-11 08:05:00,1995.211,1995.211,1994.322,1994.884,37,True
2020-08-11 08:05:30,1994.843,1995.026,1994.843,1994.874,15,True
2020-08-11 08:06:00,1994.924,1994.924,1994.608,1994.728,29,True
2020-08-11 08:06:30,1994.681,1994.681,1994.384,1994.384,27,True
2020-08-11 08:07:00,1994.34,1994.34,1992.183,1992.236,134,True
2020-08-11 08:07:30,1992.186,1992.281,1989.31,1989.7,274,True
2020-08-11 08:08:00,1989.652,1989.959,1983.679,1984.682,323,True
2020-08-11 08:08:30,1984.602,1986.288,1984.317,1986.158,167,True
2020-08-11 08:09:00,1986.222,1987.762,1986.08,1987.762,44,True
2020-08-11 08:09:30,1987.85,1989.817,1987.85,1988.938,158,True
2020-08-11 08:10:00,1988.891,1990.073,1988.65,1989.972,111,True
2020-08-11 08:10:30,1990.022,1991.352,1989.674,1991.15,96,True
2020-08-11 08:11:00,1991.192,1991.332,1990.169,1990.706,102,True
2020-08-11 08:11:30,1990.658,1991.507,1990.158,1990.293,140,True
2020-08-11 08:12:00,1990.247,1991.792,1990.22,1991.75,99,True
2020-08-11 08:12:30,1991.798,1992.473,1991.746,1992.466,60,True
2020-08-11 08:13:00,1992.513,1993.754,1992.513,1993.494,88,True
2020-08-11 08:13:30,1993.555,1994.16,1993.289,1993.863,69,True
2020-08-11 08:14:00,1993.814,1994.124,1993.691,1993.994,39,True
2020-08-11 08:14:30,1994.048,1994.258,1993.367,1993.381,59,True
2020-08-11 08:15:00,1993.428,1993.814,1993.012,1993.012,54,True
2020-08-11 08:15:30,1993.12,1993.216,1991.797,1991.797,61,True
